"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Department of Veterans Affairs","Agency Overall","2022","2146","824"
"Central Intelligence Agency","Agency Overall","2022","2652","3005"
"Commission of Fine Arts","Agency Overall","2022","0","0"
"National Science Foundation","Agency Overall","2022","383","483"
"Department of Justice","Agency Overall","2022","49959","64982"
"Federal Maritime Commission","Agency Overall","2022","4","8"
"Advisory Council on Historic Preservation","Agency Overall","2022","6","1"
"General Services Administration","Agency Overall","2022","392","249"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","2","3"
"Office of Science and Technology Policy","Agency Overall","2022","131","157"
"United States Trade and Development Agency","Agency Overall","2022","51","49"
"National Aeronautics and Space Administration","Agency Overall","2022","28","38"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0"
"Marine Mammal Commission","Agency Overall","2022","2","5"
"Appraisal Subcommittee","Agency Overall","2022","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0"
"Office of Management and Budget","Agency Overall","2022","656","589"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","69","70"
"Federal Housing Finance Agency","Agency Overall","2022","19","35"
"United States Postal Service","Agency Overall","2022","148","85"
"Department of the Interior","Agency Overall","2022","4484","4808"
"Tennessee Valley Authority","Agency Overall","2022","11","17"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","1","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","12","13"
"Presidio Trust","Agency Overall","2022","2","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","25","14"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","30","30"
"U.S. Department of State","Agency Overall","2022","14941","18765"
"Farm Credit Administration","Agency Overall","2022","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0"
"Social Security Administration","Agency Overall","2022","88","92"
"National Indian Gaming Commission","Agency Overall","2022","1","3"
"United States African Development Foundation","Agency Overall","2022","0","0"
"National Credit Union Administration","Agency Overall","2022","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","5","4"
"U.S. Election Assistance Commission","Agency Overall","2022","3","2"
"Federal Deposit Insurance Corporation","Agency Overall","2022","24","8"
"Office of National Drug Control Policy","Agency Overall","2022","15","8"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0"
"Council on Environmental Quality","Agency Overall","2022","37","43"
"Merit Systems Protection Board","Agency Overall","2022","48","62"
"Office of Special Counsel","Agency Overall","2022","4","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","4","0"
"Peace Corps","Agency Overall","2022","64","94"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","37","21"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0"
"Federal Trade Commission","Agency Overall","2022","9","23"
"Department of Labor","Agency Overall","2022","1216","1426"
"Federal Communications Commission","Agency Overall","2022","21","33"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","86","89"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0"
"United States International Trade Commission","Agency Overall","2022","1","14"
"Institute of Museum and Library Services","Agency Overall","2022","1","0"
"National Labor Relations Board","Agency Overall","2022","7","18"
"Denali Commission","Agency Overall","2022","0","0"
"Federal Reserve System","Agency Overall","2022","17","15"
"Inter-American Foundation","Agency Overall","2022","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0"
"National Transportation Safety Board","Agency Overall","2022","114","166"
"Federal Financial Institutions Examination Council","Agency Overall","2022","1","0"
"National Archives and Records Administration","Agency Overall","2022","9971","9969"
"Selective Service System","Agency Overall","2022","0","0"
"United States Copyright Office","Agency Overall","2022","5","4"
"Department of Transportation","Agency Overall","2022","4811","5362"
"Office of the Director of National Intelligence","Agency Overall","2022","493","551"
"Social Security Advisory Board","Agency Overall","2022","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","0"
"Department of Agriculture","Agency Overall","2022","2081","1991"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0"
"Department of Housing and Urban Development","Agency Overall","2022","808","626"
"Department of Energy","Agency Overall","2022","678","774"
"Department of Health and Human Services","Agency Overall","2022","9955","11320"
"Office of Personnel Management","Agency Overall","2022","190","128"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","1","2"
"National Council on Disability","Agency Overall","2022","0","0"
"Small Business Administration","Agency Overall","2022","2144","469"
"Armed Forces Retirement Home","Agency Overall","2022","0","1"
"Office of the United States Trade Representative","Agency Overall","2022","5","1"
"Consumer Product Safety Commission","Agency Overall","2022","465","441"
"Department of Defense","Agency Overall","2022","17597","18567"
"Federal Election Commission","Agency Overall","2022","4","4"
"Equal Employment Opportunity Commission","Agency Overall","2022","111","53"
"Federal Open Market Committee","Agency Overall","2022","0","0"
"Environmental Protection Agency","Agency Overall","2022","1500","1537"
"U.S. Railroad Retirement Board","Agency Overall","2022","1","2"
"Administrative Conference of the United States","Agency Overall","2022","0","0"
"Commodity Futures Trading Commission","Agency Overall","2022","14","3"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","2","0"
"Postal Regulatory Commission","Agency Overall","2022","1","0"
"United States Access Board","Agency Overall","2022","1","0"
"Department of Education","Agency Overall","2022","697","1557"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","1"
"National Mediation Board","Agency Overall","2022","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","73","54"
"United States Institute of Peace","Agency Overall","2022","3","2"
"Securities and Exchange Commission","Agency Overall","2022","342","485"
"American Battle Monuments Commission","Agency Overall","2022","0","0"
"United States International Boundary and Water Commission","Agency Overall","2022","39","37"
"National Endowment for the Humanities","Agency Overall","2022","0","2"
"Federal Energy Regulatory Commission","Agency Overall","2022","25","42"
"Legal Services Corporation","Agency Overall","2022","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","16","48"
"Department of Commerce","Agency Overall","2022","773","906"
"U.S. Agency for International Development","Agency Overall","2022","396","408"
"Surface Transportation Board","Agency Overall","2022","0","0"
"Department of the Treasury","Agency Overall","2022","2280","2381"
"National Endowment for the Arts","Agency Overall","2022","0","0"
"Department of Homeland Security","Agency Overall","2022","25102","52239"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0"
"Office of Government Ethics","Agency Overall","2022","10","5"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","2","1"
"National Railroad Passenger Corporation","Agency Overall","2022","170","277"
"Federal Labor Relations Authority","Agency Overall","2022","0","34"
"All agencies","Agency Overall","2022","158723","206636"
